question,answer,page,category,made_date,exam
顕微鏡で観察するには何を作成しなければならないか,プレパラート,P333,jiyujizai,2021/08/29,all
プレパラートを作るとき柄つき針を使い何を入れないようにするといいか,空気の泡　,P333,jiyujizai,2021/08/29,all
スライドガラスの上の観察物に何をピンセットではさみ、かけるか,カバーガラス,P333,jiyujizai,2021/08/29,all
微小生物のうち植物性の動きと動物性の動きがどちらもできる微小生物の例を2つ挙げなさい,ミドリムシ、ボルボックス,P333,jiyujizai,2021/08/29,all
ミジンコは動物性ですか植物性ですか,動物性です,P333,jiyujizai,2021/06/28,all
アメーバは動物性ですか植物性ですか,動物性です,P333,jiyujizai,2021/06/28,all
ゾウリムシは動物性ですか植物性ですか,動物性です,P333,jiyujizai,2021/06/28,all
ケンミジンコは動物性ですか植物性ですか,動物性です,P333,jiyujizai,2021/06/28,all
アオミドロは動物性ですか植物性ですか,植物性です,P333,jiyujizai,2021/06/28,all
イカダモは動物性ですか植物性ですか,植物性です,P333,jiyujizai,2021/06/28,all
ハネケイソウは動物性ですか植物性ですか,植物性です,P333,jiyujizai,2021/06/28,all
ミカヅキモは動物性ですか植物性ですか,植物性です,P333,jiyujizai,2021/06/28,all
ツヅミモは動物性ですか植物性ですか,植物性です,P333,jiyujizai,2021/06/28,all
コアミケイソウは動物性ですか植物性ですか,植物性です,P333,jiyujizai,2021/06/28,all
ウニの幼虫は動物性ですか植物性ですか,動物性です,P333,jiyujizai,2021/06/28,all
カニは動物性ですか植物性ですか,動物性です,P333,jiyujizai,2021/06/28,all
貝は動物性ですか植物性ですか,動物性です,P333,jiyujizai,2021/06/28,all
クモノスケイソウは動物性ですか植物性ですか,植物性です,P333,jiyujizai,2021/06/28,all
キートケロスは動物性ですか植物性ですか,植物性です,P333,jiyujizai,2021/06/28,all
ウミホタルは動物性ですか植物性ですか,動物性です,P333,jiyujizai,2021/06/28,all
ケンミジンコの仲間は動物性ですか植物性ですか,動物性です,P333,jiyujizai,2021/06/28,all
アサガオは離弁花類ですか合弁花類ですか,合弁花類です,P333,jiyujizai,2021/06/28,all
たんぽぽは離弁花類ですか合弁花類ですか,合弁花類です,P333,jiyujizai,2021/06/28,all
アブラナは離弁花類ですか合弁花類ですか,離弁花類,P333,jiyujizai,2021/06/28,all
エンドウは離弁花類ですか合弁花類ですか,離弁花類です,P333,jiyujizai,2021/06/28,all
サクラは離弁花類ですか合弁花類ですか,離弁花類,P333,jiyujizai,2021/06/28,all
リンドウは離弁花類ですか合弁花類ですか,合弁花類,P333,jiyujizai,2021/06/28,all
ツツジは離弁花類ですか合弁花類ですか,合弁花類,P333,jiyujizai,2021/06/28,all
バラは離弁花類ですか合弁花類ですか,離弁花類,P333,jiyujizai,2021/06/28,all
ピーマンは離弁花類ですか合弁花類ですか,合弁花類,P333,jiyujizai,2021/06/28,all
葉緑体は何を行えるか,光合成,P334,jiyujizai,2021/06/28,all
おしべはやくと何からできているか,花糸,P334,jiyujizai,2021/06/28,all
雌しべおしべ花弁がくのことをまとめてなんと呼ぶか,花の3要素,P334,jiyujizai,2021/06/28,all
やくの中からは熟すと何が出てくるか,花粉,P334,jiyujizai,2021/06/28,all
銭苔は雄株と雌株の区別ができるかできないか,できる,P335,jiyujizai,2021/06/28,all
雌しべは柱頭と子房と何からできているか,花柱,P335,jiyujizai,2021/06/28,all
雌しべの子房の中には何が入っているか,胚珠,P335,jiyujizai,2021/06/28,all
鼻柱の中には何が伸びて通っているか,花粉管,P335,jiyujizai,2021/06/28,all
雌しべには糖度何%〜何%ぐらいの蜜があるか,5〜15%ぐらい,P335,jiyujizai,2021/06/28,all
種子で増える植物を何植物と呼ぶか,種子植物,P336,jiyujizai,2021/06/28,all
雌しべの先にある柱頭に花粉がつくことをなんと呼ぶか,受粉,P336,jiyujizai,2021/06/28,all
藻類は日光を使って何を行えるか,光合成,P336,jiyujizai,2021/06/28,all
仮根はなんのためにあるのか,体を地面に固定するため,P337,jiyujizai,2021/06/28,all
昆虫が運び受粉が行われる花のことを何花と呼ぶか,虫媒花,P337,jiyujizai,2021/06/28,all
風の力で受粉が行われる花のことを何花と呼ぶか,風媒花,P337,jiyujizai,2021/06/28,all
鳥の力で受粉を行う花のことを何花と呼ぶか,鳥媒花,P337,jiyujizai,2021/06/28,all
水の流れを利用して受粉を行う花のことを何花と呼ぶか,水媒花,P337,jiyujizai,2021/06/28,all
マツは虫媒花、風媒花、鳥媒花、水媒花のうちのどの種類の種子の飛ばし方か,風媒花,P337,jiyujizai,2021/06/28,all
梅は虫媒花、風媒花、鳥媒花、水媒花のうちのどの種類の種子の飛ばし方か,鳥媒花,P337,jiyujizai,2021/06/28,all
マツモは虫媒花、風媒花、鳥媒花、水媒花のうちのどの種類の種子の飛ばし方か,水媒花,P337,jiyujizai,2021/06/28,all
たんぽぽは虫媒花、風媒花、鳥媒花、水媒花のうちのどの種類の種子の飛ばし方か,虫媒花,P337,jiyujizai,2021/06/28,all
草食動物の目はどこらへんについているか,顔の側方,P338,jiyujizai,2021/06/28,all
種子植物は何植物と何植物にも分けられるか,被子植物、裸子植物,P339,jiyujizai,2021/06/28,all
被子植物は何葉類と何葉類に分けられるか,単子葉類、双子葉類,P339,jiyujizai,2021/06/28,all
裸子植物の特徴を2つ答えなさい,子房がなく胚珠が剥き出し,P339,jiyujizai,2021/06/28,all
なぜ受粉しても果実ができないか,子房がないから,P339,jiyujizai,2021/06/28,all
裸子植物の花粉を作る部分を何と呼ぶか,花粉のう,P339,jiyujizai,2021/06/28,all
肉食動物の目はどこらへんについているか,顔の前方,P339,jiyujizai,2021/06/28,all
サクラは単子葉類か双子葉類か,双子葉類,P339,jiyujizai,2021/06/28,all
イネは単子葉類か双子葉類か,単子葉類,P339,jiyujizai,2021/06/28,all
とうもろこしは単子葉類か双子葉類か,単子葉類,P339,jiyujizai,2021/06/28,all
ヘチマは単子葉類か双子葉類か,双子葉類,P339,jiyujizai,2021/06/28,all
カボチャは単子葉類か双子葉類か,双子葉類,P339,jiyujizai,2021/06/28,all
ユリは単子葉類か双子葉類か,単子葉類,P339,jiyujizai,2021/06/28,all
玉ねぎは単子葉類か双子葉類か,単子葉類,P339,jiyujizai,2021/06/28,all
ヤシは単子葉類か双子葉類か,単子葉類,P339,jiyujizai,2021/06/28,all
ツユクサは単子葉類か双子葉類か,単子葉類,P339,jiyujizai,2021/06/28,all
アヤメは単子葉類か双子葉類か,単子葉類,P339,jiyujizai,2021/06/28,all
ランは単子葉類か双子葉類か,単子葉類,P339,jiyujizai,2021/06/28,all
カンナは単子葉類か双子葉類か,単子葉類,P339,jiyujizai,2021/06/28,all
双子葉類の根の作り方を答えなさい,主根、側根,P340,jiyujizai,2021/06/28,all
双子葉類はなぜ双子葉類と呼ばれるか,子葉が2枚だから,P340,jiyujizai,2021/06/28,all
単子葉類はなぜ単子葉類と呼ばれるか,子葉が1枚だから,P340,jiyujizai,2021/06/28,all
単子葉類の根の作りを答えなさい,ひげ根,P340,jiyujizai,2021/06/28,all
双子葉類は花弁のつき方によってさらに何と何に分けられるか,合弁花類、離弁花類,P340,jiyujizai,2021/06/28,all
単子葉類は離弁花類、合弁花類の区別ができるかできないか,できない,P340,jiyujizai,2021/06/28,all
双子葉類の葉脈はどのようになっているか,網目状(網状脈),P340,jiyujizai,2021/06/28,all
単子葉類の葉脈はどのようになっているか,平行(平行脈),P340,jiyujizai,2021/06/28,all
鳥類は前脚が何に変わったか,はね,P340,jiyujizai,2021/06/28,all
カエデは単子葉類か双子葉類か,双子葉類,P340,jiyujizai,2021/06/29,all
バラは単子葉類か双子葉類か,双子葉類,P340,jiyujizai,2021/06/29,all
アブラナは単子葉類か双子葉類か,双子葉類,P340,jiyujizai,2021/06/29,all
ツツジは単子葉類か双子葉類か,双子葉類,P340,jiyujizai,2021/06/29,all
リンドウは単子葉類か双子葉類か,双子葉類,P340,jiyujizai,2021/06/29,all
アサガオは単子葉類か双子葉類か,双子葉類,P340,jiyujizai,2021/06/29,all
ヘチマは単子葉類か双子葉類か,双子葉類,P340,jiyujizai,2021/06/29,all
きくは単子葉類か双子葉類か,双子葉類,P340,jiyujizai,2021/06/29,all
ひまわりは単子葉類か双子葉類か,双子葉類,P340,jiyujizai,2021/06/29,all
種から最初に出てくる葉のことを何と呼ぶか,子葉,P341,jiyujizai,2021/06/29,all
種子を作らない植物は何を作って増えるか,胞子,P342,jiyujizai,2021/06/29,all
最初の根になるのは何と呼ぶか,幼根,P342,jiyujizai,2021/06/29,all
胞子は雌花のどこで作られるか,胞子のう,P343,jiyujizai,2021/06/29,all
苔植物の根のように見える部分を何と呼ぶか,仮根,P343,jiyujizai,2021/06/29,all
コケ植物は根、茎、葉の区別があるかないか,ない,P343,jiyujizai,2021/06/29,all
シダ植物は根、茎、葉の区別があるかないか,ある,P343,jiyujizai,2021/06/29,all
幼根を支えるのはなんと呼ばれるものか,胚軸,P343,jiyujizai,2021/06/29,all
音の大きさを表すとき単位は何になるか,デシベル(dB),P35,jiyujizai,2021/08/06,all
ウサギ、馬などの草や木を食べる動物を何動物と呼ぶか,草食動物,P350,jiyujizai,2021/08/06,all
サメ、ライオンなどの他の動物を食べる動物を何動物と呼ぶか,肉食動物,P350,jiyujizai,2021/08/06,all
草食動物は草や木をすりつぶすためになんという歯が発達しているか,臼歯,P350,jiyujizai,2021/08/06,all
葉を切り取るために発達した歯を何歯と呼ぶか,門歯,P350,jiyujizai,2021/08/06,all
獲物を捕らえるために発達した歯は？,犬歯,P350,jiyujizai,2021/08/06,all
肉を挟んで切るために臼歯はどんな感じになっている？,凹凸になっている,P350,jiyujizai,2021/08/06,all
草食動物の消化管は長いか短いか,長い,P350,jiyujizai,2021/08/06,all
肉食動物はなぜ立体的に見える範囲が広いか,獲物との距離を測るため,P351,jiyujizai,2021/08/06,all
草食動物はなぜ見える範囲が広いか,捕食者の動きを敏感にとらえるため,P351,jiyujizai,2021/08/06,all
体温を一定に保てる動物のことを何動物と呼ぶか,恒温動物,P352,jiyujizai,2021/08/06,all
体温が外気温とともに変わる動物を何動物と呼ぶか,変温動物,P352,jiyujizai,2021/08/06,all
変温動物はふゆに何を行うか,冬眠,P352,jiyujizai,2021/08/06,all
背骨を持つ動物を何動物と呼ぶか,脊椎動物,P352,jiyujizai,2021/08/06,all
哺乳類はどのように子を生むか,子宮内である程度育ててうむ,P353,jiyujizai,2021/08/06,all
哺乳類の子の生み方をなんと呼ぶか,胎生,P353,jiyujizai,2021/08/06,all
魚類、両生類、爬虫類、鳥類などのこの生み方をなんとよぶか,卵生,P353,jiyujizai,2021/08/06,all
節足動物の外側を包む骨格を何と呼ぶか,外骨格,P354,jiyujizai,2021/08/06,all
節足動物はどこで呼吸をするか,気門,P354,jiyujizai,2021/08/06,all
甲殻類の多くはどこで呼吸ををするか,えら,P354,jiyujizai,2021/08/06,all
軟体動物はどこで呼吸をするか,えら,P354,jiyujizai,2021/08/06,all
軟体動物は何で体を守っているか,貝殻,P354,jiyujizai,2021/08/06,all
草食性の巻貝は何で海藻をこす取るか,歯舌,P354,jiyujizai,2021/08/06,all
肉食性の巻貝は歯舌がどのように変化しているか,鋭くとがっている,P354,jiyujizai,2021/08/06,all
クラゲなどの多数の触手とと毒を持つ動物を何動物と呼ぶか,刺胞動物,P354,jiyujizai,2021/08/06,all
背骨がない動物を何動物と呼ぶか,無脊椎動物,P354,jiyujizai,2021/08/06,all
植物の体を作る基本単位を何と呼ぶか,細胞,P366,jiyujizai,2021/07/07,all
細胞の集まりのことを何と呼ぶか,組織,P366,jiyujizai,2021/07/07,all
何種類かの組織が集まって一定の形・働きをするものを何と呼ぶか,気菅,P366,jiyujizai,2021/07/07,all
細胞の多くは無色透明のため観察することができない。そのため、何に染色液で色をつける必要があるか,核,P368,jiyujizai,2021/08/26,all
細胞の多くは無色透明のため観察することができない。そのため、核に何で色をつける必要があるか,染色液,P368,jiyujizai,2021/08/26,all
染色液には何や何を用いると良いか,酢酸カーミン液や酢酸オルセイン液,P368,jiyujizai,2021/08/26,all
同じ振動数の音を出す2つのものの一方を鳴らすともう一方が自然になり出す現象を何とよぶか,共鳴,P37,jiyujizai,2021/08/06,all
細胞は一般的に何と何でできているか,核と細胞質,P370,jiyujizai,2021/08/26,all
細胞質は何に包まれているか,細胞膜,P370,jiyujizai,2021/08/26,all
核の外側は小さい穴のある何で包まれ内部には球体の形をした核小体と糸状の染色体を含んでいるか,核膜,P370,jiyujizai,2021/08/26,all
核の外側は小さい穴のある核膜で包まれ内部には球体の形をした何と糸状の染色体を含んでいるか,核小体,P370,jiyujizai,2021/08/26,all
核の外側は小さい穴のある核膜で包まれ内部には球体の形をした核小体と糸状の何を含んでいるか,染色体,P371,jiyujizai,2021/08/26,all
細胞質の中にはミトコンドリアや色素体などの何とそれを満たす液があるか,細胞小器官,P371,jiyujizai,2021/08/26,all
細胞壁は細胞質が作り出した何を主成分としているか,セルロース,P373,jiyujizai,2021/08/26,all
葉身の中央には何があるか,葉脈,P373,jiyujizai,2021/08/26,all
葉の表面には丈夫で光沢のある何があるか,表皮,P376,jiyujizai,2021/07/07,all
表皮の内側には何を多く含んでいるか,葉緑体,P376,jiyujizai,2021/07/07,all
裏側の表皮には何があるか,気孔,P376,jiyujizai,2021/07/07,all
葉脈の部分には何が通っているか,維管束,P376,jiyujizai,2021/07/08,all
維管束には水や栄養を運ぶ管何管と何管が通っているか,道管、師管,P376,jiyujizai,2021/07/08,all
蒸散を説明しなさい,根から取り上げられた水を水蒸気として空気中に放出すること,P377,jiyujizai,2021/07/08,all
根から吸収した水を水蒸気として空気中に放出する働きを何とよぶか,蒸散,P377,jiyujizai,2021/07/08,all
気孔は葉の裏側に多く分布しており2つの何に囲まれているか,孔辺細胞,P378,jiyujizai,2021/08/26,all
植物が光エネルギーを使ってデンプンなどの栄養分を作る働きを何と呼ぶか？,光合成,P379,jiyujizai,2021/07/08,all
光合成は葉の細胞の何の中で行われるか,葉緑体,P379,jiyujizai,2021/07/08,all
葉緑体の緑色は葉緑体の中の袋状の膜に含まれている何という色素によるものか,葉緑素,P379,jiyujizai,2021/08/26,all
光合成を行うには光以外に何が必要か,二酸化炭素・水,P381,jiyujizai,2021/07/08,all
調べること以外は同じ条件にした実験のことを何と呼ぶか,対照実験,P381,jiyujizai,2021/07/08,all
デンプンは水に溶けない。そこで何に変えられてから師管を通って植物の各部に届けられるか,ブドウ糖,P383,jiyujizai,2021/07/08,all
葉緑素には光エネルギーを何に変える働きがあるか,化学エネルギー,P387,jiyujizai,2021/07/08,all
光合成は何を吸って何をはいているか,二酸化炭素、酸素,P387,jiyujizai,2021/07/08,all
呼吸は細胞の中のどこで行われているか,ミトコンドリア,P387,jiyujizai,2021/07/08,all
植物は夜には何を吸って何をはいているか,酸素二酸化炭素,P391,jiyujizai,2021/07/08,all
いねやとうもろこしは何葉類か,単子葉類,P391,jiyujizai,2021/07/08,all
単子葉類の根の先には細かな何がついているか,根毛,P391,jiyujizai,2021/07/08,all
根の最も先端には何があるか,根冠,P391,jiyujizai,2021/07/08,all
根冠の後方には何点があるか,成長点,P391,jiyujizai,2021/07/08,all
根は地中に伸びて茎、葉、花などの何部を支えるか,地上部,P391,jiyujizai,2021/07/08,all
根は地中の水や何を吸収しているか,養分,P391,jiyujizai,2021/07/08,all
根は吸収した水や養分を何部まで運ぶか,地上部,P391,jiyujizai,2021/07/08,all
根はデンプンなどの栄養分を何する働きがあるか,貯蔵,P391,jiyujizai,2021/07/08,all
水や養分の吸収は何で行われるか,根毛,P391,jiyujizai,2021/07/08,all
師管は主に何を通しているか,光合成によって作られた栄養分を通している,P392,jiyujizai,2021/07/08,all
道管は主に何を通しているか,根から吸収した水や水に溶けた栄養分を通す,P392,jiyujizai,2021/07/08,all
形成層にはどのような働きがあるか,茎を太くする,P392,jiyujizai,2021/07/08,all
食べ物を噛み砕き分解する事で小腸から吸収できるような小さい物質にすることを何と呼ぶか,消化,P393,jiyujizai,2021/07/08,all
消化には二種類ある。その消化の名前を答えなさい,機械的消化と科学的消化,P394,jiyujizai,2021/07/08,all
科学的消化とは消化液に含まれる何で食物を科学的に分解するという意味があるか,消化酵素,P394,jiyujizai,2021/07/08,all
消化器官には植物が直接通る何という管があるか,消化管,P394,jiyujizai,2021/07/08,all
唾液はデンプンを何に変える働きがあるか,麦芽糖,P394,jiyujizai,2021/07/08,all
小腸の内面には無数のひだがある。そのひだのことを何と呼ぶか,柔毛,P395,jiyujizai,2021/07/08,all
何運動によって食物を胃に運ぶはたらきをするか,ぜん動運動,P395,jiyujizai,2021/07/08,all
すい臓から分泌されるのはなに液か,すい液,P395,jiyujizai,2021/08/29,all
胆のうからくるのは何汁か,胆汁,P395,jiyujizai,2021/08/29,all
小腸では食物と消化酵素を混ぜ合わせる何運動が行われているか,文節運動,P396,jiyujizai,2021/07/08,all
デンプンが分解されると何になるか,ブドウ糖,P397,jiyujizai,2021/07/08,all
ブドウ糖は小腸の柔毛内の何に吸収されるか,毛細血管,P397,jiyujizai,2021/07/08,all
ブドウ糖は毛細血管に吸収されて何脈を経て肝臓に運ばれるか,肝門脈,P397,jiyujizai,2021/07/08,all
ブドウ糖の一部は肝臓で何と合成されて貯蔵されるか,グリコラーゲン,P397,jiyujizai,2021/07/08,all
アミノ酸はブドウ糖同様に柔毛内の何に吸収されるか,毛細血管,P398,jiyujizai,2021/07/08,all
アミノ酸は細胞を作る何の材料となるか,タンパク質,P398,jiyujizai,2021/07/08,all
タンパク質は動物の中の全成分の何%を占めるか,約15%,P398,jiyujizai,2021/07/08,all
脂肪はどこへ吸収されるか,リンパ管,P398,jiyujizai,2021/07/08,all
人の体に必要なビタミンは何種類あると認められているか,13種類,P399,jiyujizai,2021/07/08,all
血液は体の何%を占めるか,約7%,P400,jiyujizai,2021/07/08,all
血液は何からなるか,血しょう・赤血球・白血球・血小板と呼ばれる血球,P400,jiyujizai,2021/07/08,all
赤血球は何という鉄を含む色素を持つか,ヘモグロビン,P400,jiyujizai,2021/07/08,all
ヘモグロビンは酸素以外に何ともくっつきやすいか,一酸化炭素,P400,jiyujizai,2021/07/08,all
白血球は核を持つか持たないか,もつ,P400,jiyujizai,2021/07/08,all
免疫反応が過剰に起こり体に不利に働くことを何と呼ぶか,アレルギー,P405,jiyujizai,2021/07/09,all
アレルギーを引き起こす物質を何と呼ぶか,アレルゲン,P405,jiyujizai,2021/07/09,all
ヒトの血液型としては現在何種類あるか,37種類,P405,jiyujizai,2021/07/09,all
心臓に血液が流入する部屋を何と呼ぶか,心房,P406,jiyujizai,2021/07/09,all
血液を送り出す部屋を何と呼ぶか,心室,P406,jiyujizai,2021/07/09,all
魚類は何この心房と心室があるか,一つの心房、一つの心室,P406,jiyujizai,2021/07/09,all
両生類は何個の心室と何個の心房があるか,2つの心房と1つの心室,P406,jiyujizai,2021/07/09,all
哺乳類と鳥類は何個の心室と心房があるか,2つの寝室と2つの心房,P406,jiyujizai,2021/07/09,all
静脈内には所々に何があり血液の逆流が起こることを防ぐか,弁(静脈弁),P406,jiyujizai,2021/07/09,all
人の血液循環は何と何に分けられるか,体循環・肺循環,P407,jiyujizai,2021/07/08,all
酸素を多く含む血液をなんとよぶか,動脈血,P407,jiyujizai,2021/07/08,all
二酸化炭素を多く含む血液をなんとよぶか,静脈血,P407,jiyujizai,2021/07/08,all
大動脈には何が流れているか,動脈血,P407,jiyujizai,2021/07/08,all
肝門脈には何が流れているか,消化管で吸収された栄養分,P407,jiyujizai,2021/07/08,all
大静脈には何が流れているか,静脈血,P407,jiyujizai,2021/07/08,all
腎静脈には何が流れているか,腎臓でこし取られた血,P407,jiyujizai,2021/07/08,all
肺動脈にはどこからどこへ向かう血管が流れているか,心臓から肺へ向かう血管,P408,jiyujizai,2021/07/08,all
肺静脈にはどこからどこへ向かう血管が流れているか,肺から心臓へ向かう血管,P408,jiyujizai,2021/07/08,all
酸素を体内に取り入れ二酸化炭素を体外に排出することを何と呼ぶか,呼吸,P408,jiyujizai,2021/07/08,all
肺をつかって呼吸することを何と呼ぶか,肺呼吸,P408,jiyujizai,2021/07/08,all
血液中の血しょうの一部が毛細血管からしみ出たものは細胞と細胞の間を満たす何となるか,組織液,P408,jiyujizai,2021/08/29,all
組織液のほとんどは毛細血管に吸収されるが一部はリンパ管に入り何となるか,リンパ液,P408,jiyujizai,2021/08/29,all
気管から別れた気管支の先に何という小さな袋があるか,肺胞,P409,jiyujizai,2021/07/08,all
えらで呼吸することを何呼吸と呼ぶか,エラ呼吸,P409,jiyujizai,2021/07/08,all
ミミズは何呼吸をしているか,皮膚呼吸,P409,jiyujizai,2021/07/08,all
気管を使って呼吸することを何呼吸と呼ぶか,気管呼吸,P409,jiyujizai,2021/07/08,all
肺は何に囲まれているか,肋骨と横隔膜,P409,jiyujizai,2021/07/08,all
各細胞が行う呼吸のことをなんと呼ぶか,内呼吸,P410,jiyujizai,2021/08/29,all
脂肪や炭水化物は体の中で使われ分解されると何と何になるか,水、二酸化炭素,P411,jiyujizai,2021/07/09,all
アンモニアは有害であるため人の肝臓の中で何に変えられ排出されるか,尿素,P411,jiyujizai,2021/07/09,all
汗腺では老廃物を何に変えて排出されるか,汗,P411,jiyujizai,2021/07/09,all
目は何を受け取る視覚器官か,光,P411,jiyujizai,2021/07/09,all
眼球内を満たしている透明なロコイド状の部分のことを何と呼ぶか,ガラス体,P412,jiyujizai,2021/07/09,all
眼球の正面を覆っている透明なまくのことを何と呼ぶか ,角膜,P412,jiyujizai,2021/07/09,all
眼球の中で光を屈折させ網膜上の像を結ばせる役割を果たしているのはどこか,レンズ,P412,jiyujizai,2021/07/09,all
ひとみを囲みレンズに入る光の量を調節する役割を果たすのはどこか,虹彩,P412,jiyujizai,2021/07/09,all
毛様体とレンズとの間には何があるか,チン小帯,P412,jiyujizai,2021/07/09,all
網膜とは光を感じる何細胞と神経細胞が集まった眼球の内側のまくか,視細胞,P412,jiyujizai,2021/07/09,all
網膜は光が当たると視細胞が興奮し連絡神経細胞を経てどこに伝わるか,視神経,P412,jiyujizai,2021/07/09,all
耳は何この部分から成り立っているか,3つ,P414,jiyujizai,2021/07/09,all
耳は何耳何耳何耳から成り立っているか,外耳・中耳・内耳,P414,jiyujizai,2021/07/09,all
外耳は耳殻と何からなるか,外耳道,P414,jiyujizai,2021/07/09,all
外耳は何で中耳と仕切られているか,鼓膜,P414,jiyujizai,2021/07/09,all
中耳は何と何からなっているか,耳小骨・耳管,P414,jiyujizai,2021/07/09,all
耳小骨は何種類の形があるか,3種類,P414,jiyujizai,2021/07/09,all
耳小骨の名前を全て答えよ,つち骨・きぬた骨・あぶみ骨,P414,jiyujizai,2021/07/09,all
耳管は何とも呼ばれることがあるか,エウスタキオ管・ユースタキー管,P414,jiyujizai,2021/07/09,all
内耳は何と何と何の3つの部分からできているか,うずまき管・前庭・半規管(3半規管),P414,jiyujizai,2021/07/09,all
うずまき管には感覚毛を持つ何が並んでいるか,聴細胞,P414,jiyujizai,2021/07/09,all
前庭は傾きの方向とその変化を感じる何感覚器官か,平衡感覚器管,P415,jiyujizai,2021/07/09,all
鼻こうの上部表面は粘膜に覆われ、そこに何が分布しているか,嗅細胞,P415,jiyujizai,2021/07/09,all
舌の表面の舌乳頭には何細胞を含む味覚芽があるか,味細胞,P416,jiyujizai,2021/07/09,all
人が感覚できる味は5種類ある全て答えなさい,甘味・塩味・苦味・酸味・うま味,P416,jiyujizai,2021/07/09,all
皮膚には4種類の感覚点がある。全ての感覚点の名前を答えなさい,温点・冷点・圧点・痛点,P416,jiyujizai,2021/07/09,all
運動器管に指示を与える役割を担うのは何であるか,神経系,P417,jiyujizai,2021/07/09,all
神経系の中の長い突起を持った細長い細胞のことを何と呼ぶか,神経細胞,P417,jiyujizai,2021/07/09,all
神経系は何神経と何神経に大別されるか,中枢神経と末しょう神経,P417,jiyujizai,2021/07/09,all
中枢神経は何と何からなるか,脳と脊髄,P417,jiyujizai,2021/07/09,all
末しょう神経は何神経と何神経に分けられるか,体性神経・自律神経,P418,jiyujizai,2021/07/10,all
体性神経には感覚器官からの刺激を脳や脊髄などの中枢に伝える何神経などがあるか,感覚神経,P418,jiyujizai,2021/07/10,all
体性神経には中枢からの命令を運動器管に伝える何神経などがあるか,運動神経,P418,jiyujizai,2021/07/10,all
記憶は保持できる時間によって何記憶と何記憶に分けられるか,短期記憶・長期記憶,P418,jiyujizai,2021/07/10,all
長期記憶は言葉で表せる何記憶と言葉で表せない何記憶に分けられるか,陳述記憶・非陳述記憶,P418,jiyujizai,2021/07/10,all
大脳の一部には短期記憶を長期記憶に変える働きを持つ何があるか,海馬,P418,jiyujizai,2021/07/10,all
大脳で判断することなく無意識に素早い行動を行う仕組みを何と呼ぶか,反射,P419,jiyujizai,2021/07/10,all
反射が起こる時受けた刺激は大脳に達する前に運動神経に達する。刺激が大脳へ伝わる途中の脊髄から運動神経に伝わる場合を何反射と呼ぶか,脊髄反射,P419,jiyujizai,2021/07/10,all
脊髄反射が起こったときのの刺激が伝わる経路のことを何と呼ぶか,反射弓,P419,jiyujizai,2021/07/10,all
ある刺激に対して決まった方向に移動する行動のことを何と呼ぶか,走性,P420,jiyujizai,2021/07/10,all
ほとんど無意識に起こる行動のことを何と呼ぶか,古典的条件づけ,P420,jiyujizai,2021/07/10,all
神経細胞は核を持った何と長い突起であるなに繊維と何突起からできているか,細胞体・神経繊維・樹状突起,P421,jiyujizai,2021/07/10,all
刺胞動物には中枢神経がない。このような神経系を何神経と呼ぶか,散在神経系,P422,jiyujizai,2021/07/10,all
人にように中枢神経を持つ神経系を何と呼ぶか,集中神経系,P422,jiyujizai,2021/07/10,all
脊椎動物には何骨格があるか,内骨格,P423,jiyujizai,2021/07/10,all
無脊椎動物には何骨格があるか（問題がなかったから追加したけど適当に修正して：パパ）,外骨格,P423,jiyujizai,2021/07/10,all
筋肉の両端は何になっているか,けん,P423,jiyujizai,2021/07/10,all
外骨格を持つ動物は成長の伴って何をしなければならないか,脱皮,P423,jiyujizai,2021/07/10,all
骨格を持たない動物は何の収縮で運動するか,筋肉,P423,jiyujizai,2021/07/10,all
骨格を持たない動物は何運動で体を前進させるか,ぜん動運動,P424,jiyujizai,2021/07/10,all
体のカルシウムは骨や歯に何%含まれているか,約99%,P424,jiyujizai,2021/07/10,all
血液中のカルシウムが不足するとどこのカルシウムが放出されるか,骨,P424,jiyujizai,2021/07/10,all
意識的に動かせる随意筋のことをなんと呼ぶか,横紋筋,P424,jiyujizai,2021/08/29,all
意識的には動かせない不随意筋のことをなんと呼ぶか,平滑筋,P424,jiyujizai,2021/08/29,all
不随意筋であるが収縮は早く持続性がある筋肉のことをなんと呼ぶか,心筋,P424,jiyujizai,2021/08/29,all
植物の細胞は何分裂によって細胞の数が増えるか,え,P430,jiyujizai,2021/07/10,all
伸長成長とは何か,植物が長く伸びること,P430,jiyujizai,2021/07/10,all
肥大成長とは何か,植物が太くなること,P430,jiyujizai,2021/07/10,all
植物の茎や根には何層があるか,形成層,P430,jiyujizai,2021/07/10,all
昆虫類や甲殻類、ヘビは体を大きくするために外側の殻や硬い皮膚を脱ぐ。そのことを何と呼ぶか,脱皮,P430,jiyujizai,2021/07/10,all
動物が子から成体になるまでに体の作り、呼吸の仕方、食物や生活などを大きく変化させることを何と呼ぶか,変態,P430,jiyujizai,2021/07/10,all
動物細胞では何体が細胞分裂の前期に分裂する新しい細胞の中心に移動して星状体になるか,中心体,P436,jiyujizai,2021/07/10,all
種子細胞は花を咲かせおしべで作る精細胞と雌しべで作る何細胞が受精するか,卵細胞,P438,jiyujizai,2021/07/10,all
種子植物が受精すると種子の中に何を作るか,胚,P438,jiyujizai,2021/07/10,all
受精によって子孫を増やす方法を何と呼ぶか,有性生殖,P438,jiyujizai,2021/07/10,all
